Project,Model,ACC,PREC,REC,F1,AUC
pytorch,NB,0.8457±0.0154,0.5817±0.0589,0.5351±0.0219,0.5387±0.0295,0.5351±0.0219
pytorch,XGB-Ablation,0.8882±0.0129,0.7594±0.0423,0.6795±0.0395,0.7060±0.0383,0.6795±0.0395
pytorch,XGBoost,0.8833±0.0128,0.7425±0.0391,0.6826±0.0403,0.7032±0.0371,0.6826±0.0403
tensorflow,NB,0.6618±0.0187,0.5652±0.0182,0.5951±0.0278,0.5610±0.0204,0.5951±0.0278
tensorflow,XGB-Ablation,0.8903±0.0138,0.8293±0.0257,0.7973±0.0269,0.8112±0.0246,0.7973±0.0269
tensorflow,XGBoost,0.8916±0.0131,0.8309±0.0246,0.8015±0.0239,0.8145±0.0225,0.8015±0.0239
keras,NB,0.7451±0.0213,0.5580±0.0459,0.5409±0.0326,0.5414±0.0380,0.5409±0.0326
keras,XGB-Ablation,0.8648±0.0204,0.8008±0.0378,0.7670±0.0337,0.7804±0.0323,0.7670±0.0337
keras,XGBoost,0.8544±0.0225,0.7824±0.0419,0.7498±0.0380,0.7627±0.0373,0.7498±0.0380
incubator-mxnet,NB,0.8518±0.0134,0.5793±0.0767,0.5323±0.0314,0.5323±0.0445,0.5323±0.0314
incubator-mxnet,XGB-Ablation,0.8942±0.0186,0.7805±0.0635,0.6901±0.0665,0.7171±0.0630,0.6901±0.0665
incubator-mxnet,XGBoost,0.8869±0.0170,0.7572±0.0557,0.6795±0.0516,0.7042±0.0502,0.6795±0.0516
caffe,NB,0.8795±0.0233,0.7083±0.1744,0.5598±0.0480,0.5748±0.0688,0.5598±0.0480
caffe,XGB-Ablation,0.8744±0.0246,0.6459±0.1587,0.5584±0.0568,0.5690±0.0800,0.5584±0.0568
caffe,XGBoost,0.8864±0.0198,0.7243±0.1134,0.6115±0.0504,0.6368±0.0656,0.6115±0.0504
